;indbyggertal 1. januar;andel 0-2-årige;andel 0-5-årige;andel 0-9-årige;andel 0-10-årige;andel 0-13-årige;andel 0-17-årige;andel 3-5-årige;andel 6-9-årige;andel 6-13-årige;andel 6-16-årige;andel 10-13-årige;andel 17-64-årige;andel 17-66-årige;andel 18-66-årige;andel 18+-årige;andel 25-64-årige;andel 65+-årige;andel 67+-årige;areal (km2) (abs);befolkningstæthed (indb/km2);befolkningsandel i bymæssig bebyggelse;andel ejerboliger;andel almennyttige boliger;andel udpendlere;andel indpendlere;andel 25-64-årige uden erhvervsuddannelse;andel 25-64-årige med videregående uddannelse;fuldtidsledige pr. 100 17-64/66-årige;børn af enlige forsørgere pr. 100 0-17-årige;statsborgere fra vestlige lande pr. 10.000 indb.;statsborgere fra ikke-vestlige lande pr. 10.000 indb.;anmeldte tyverier/indbrud pr. 1.000 indb.;anmeldte voldsforbrydelser pr. 1.000 indb.;andel opstillede kvinder ved kommunalvalg;andel valgte kvinder ved kommunalvalg;socioøkonomisk indeks;udgiftsbehov (landet) pr. indb.;udgiftsbehov (hovedstaden) pr. indb.;serviceudgifter pr. indb.;udskrivningsprocent;kirkeskatteprocent;grundskyldpromille;dækningsafgiftspromille af forretningsejendomme;dækn.afg.prm. af andre off. ejendommes grundværdi;dækn.afg.prm. af andre off. ejendommes forskelsværdi;beskatningsniveau (pct.);statsgaranteret udskrivningsgrundlag pr. indb.;budgetteret udskrivningsgrundlag pr. indb.;grundværdier pr. indb.;beskatningsgrundlag pr. indb.;nettodriftsudgifter pr. indb.;udg. til byudvikling, bolig og miljø pr. indb.;udg. til transport og infrastruktur pr. indb.;udg. til folkeskoleområdet pr. indb.;udg. til bibl./kultur/folkeopl. pr. indb.;udg. til sundh.ydelser ekskl. medfin. pr. indb.;udg. til akt.bestemt medfinans. af sundh.v. pr. indb.;udg. (netto) til dagtilbud pr. indb.;udg. (brutto) til dagtilbud pr. indb.;udg. til ældre samt voksne med særl. behov pr. indb.;udg. til lønpuljer pr. indb.;udg. til overførsler pr. indb.;udg. (brutto) til skattefinansieret anlæg pr. indb.;udg. til ledelse og adm. pr. indb.;udg. til central ledelse og adm. pr. indb.;udg. til decentral led. og adm. pr. indb.;udgifter i alt pr. indb.;driftsfinansiering ekskl. forsyningsvirks. pr. indb.;driftsindtægter ekskl. forsyningsvirks. pr. indb.;indtægter fra indkomstskat pr. indb.;indtægter fra ejendomsskat pr. indb.;indtægter fra selskabsskat pr. indb.;indtægter fra tilskud og udlign. pr. indb.;indtægter fra refusioner mv. pr. indb.;indt. fra den centr. ref.ordn. vedr. b/u pr. 0-17-årig;indt., centr. ref.ordn., voksne/hand. pr. 18-66-årig;refusion af købsmoms pr. indb.;anden finansiering pr. indb.;anlægsindt. excl. forsyningsvirksomhed pr. indb.;drifts- og anl.fin. inkl. fors.virks. i alt pr. indb.;langfristet gæld pr. 1/1 pr. indb.;langfristet gæld ekskl. ældrebol. pr. 1/1 pr. indb.;likvide aktiver pr. 1/1 pr. indb.;likviditet efter kassekreditreglen pr. indb.;personaleforbrug i alt pr. 1.000 indb.;årsværk til ledelse og administration pr. 1.000 indb.;privat-leverandør-indikator (pct.);indikator for konkurrenceudsættelse (pct.);indikator for konkurrenceudsættelse på hkt 0 (pct.);indikator for konkurrenceudsættelse på hkt 2 (pct.);indikator for konkurrenceudsættelse på hkt 3 (pct.);indikator for konkurrenceudsættelse på hkt 4 (pct.);indikator for konkurrenceudsættelse på hkt 5 (pct.);indikator for konkurrenceudsættelse på hkt 6 (pct.);udg. (brutto) til dagtilbud pr. 0-13-årig;udg. (netto) til dagtilbud pr. 0-13-årig;udg. til søskenderabat og fripladser pr. 0-10-årig;udg. til private pasningsordninger pr. 0-10-årig;pladser i dagpasning i alt pr. 100 0-10-årige;pladser i dagpleje pr. 100 0-2-årige;pladser i daginstitutioner pr. 100 0-2-årige;pladser i daginstitutioner pr. 100 3-5-årige;pladser i fritidshjem pr. 100 6-9-årige;pladser i sfo pr. 100 6-13-årige;antal købte pladser i dagtilbud over kom.grænser;antal solgte pladser i dagtilbud over kom.grænser;månedlig takst for dagplejeplads for 0-2-årige;månedlig takst for daginstitutionsplads for 0-2-årige;månedlig takst for daginstitutionsplads for 3-5-årige;mdl. takst for fritidshjemsplads for 6-9-årige;månedl. takst for sfo for 6-9-årige;månedl. takst for sfo for 10-13-årige;undervisningsudgifter pr. 6-16-årig;udg. til folkeskolen pr. 6-16-årig;udg. til folkeskolen pr. elev;antal folkeskoler;antal normalklasser;gennemsnitlig skolestørrelse;gennemsnitlig klassekvotient;udg. til privatskoler, efterskoler m.fl. pr. 6-16-årig;privatskoleelever pr. 100 elever;biblioteksudgifter pr. indb.;udg. til bøger og udlånsmaterialer pr. indb.;antal biblioteker;biblioteksudlån pr. indb.;personale i alt ved folkebiblioteker pr. 1.000 indb.;udg. til kultur pr. indb.;udg. til sport og fritid pr. indb.;udgifter til ældre pr. 67+-årig;udg. til ældre samt voksne m. særl. behov pr. 18+-årig;udg. til boligydelse pr. pensionist;boligydelsesmodtagere pr. 100 husstande;pladser i plejehjem/pl.centre pr. 1.000 65+/67+-årige;plejeboliger pr. 1.000 65+/67+-årige;ældreboliger pr. 1.000 65+/67+-årige;pladser i beskyttede boliger pr. 1.000 65+/67+-årige;betaling for udbragt mad pr. dag (abs);betaling for forplejning på plejehjem pr. mnd (abs);betaling for aflastn.ophold pr. døgn (abs) (til 2018);udg. til forsørgelse (netto) pr. 17-64/66-årig;udg. til børn og unge med særlige behov pr. 0-17-årig;udg. til voksne med særlige behov pr. 18-66-årig;udg. til introduktionsforløb for udlændinge pr. indb.;udg. til sygedagpenge pr. 17-64/66-årig;boligsikr.udg. pr. 17-64/66-årig;boligsikringsmodtagere pr. 100 husstande;udg. til førtidspension pr. 17-64/66-årig;førtidspensionister pr. 100 17-64/66-årige;udg. til kontanthjælp og revalidering pr 17-64/66-årig;kontanthjælpsmodtagere mv. pr. 100 17-64-årige;udg. til aktivering pr. 17-64/66-årig;serviceniveau (gns=1,00) (til 2018);skat/service-forhold (gns 1,00) (til 2018);kom.s forventning til serviceudg. pr. indb. (til 2016);halvårsstatus for serviceudgifter pr. indb. (til 2017);samlet amts- og primærkom. udskrivn.pct. (til 2006);beskatningsgrl. efter udligning pr. indb. (til 2006);udg. til forsyningsvirksomhed pr. indb. (til 2010);bruttoanlægsudg. til fors.virks. pr. indb. (til 2010);udg. til admininistration pr. indb. (til 2012);udliciteringsindikator (pct.) (til 2006);privat-leverandør-indik. (pct.) (gl. def.) (til 2010);pladser i vuggestuer pr. 100 0-2-årige (til 2012);pladser i børnehaver pr. 100 3-5-årige (til 2012);pladser i aldersint. inst. pr. 100 0-9-årig (til 2012);mdl. takst for vuggestueplads for 0-2-årige (til 2012);mdl. takst for børnehaveplads for 3-5-årige (til 2012);mdl. takst for plads i int. inst. (0-2 år) (til 2012);mdl. takst for plads i int. inst. (3-5 år) (til 2012);mdl. takst for frit.hj.pl (6-9) eft. ref. (kun 2014);månedl. takst for sfo (6-9) efter skoleref. (kun 2014);månedl. takst for sfo (10-13) eft. skoleref.(kun 2014);indikator for konk.uds. (pct.) (gl. def.) (til 2010);vandafledningsafgift pr. m3 (abs) (til 2010);fast årlig vandafledningsafgift (abs) (til 2010);tilslutningsbidrag til vandforsyning (abs) (til 2010);målerafgift til vandforsyning (abs) (til 2010);vandforbrugsafgift pr. m3 (abs) (til 2010)
1993;33746.0;4.3;8.2;12.6;13.8;17.3;22.6;3.9;4.5;9.2;13.0;4.7;66.9;69.0;67.5;77.4;56.6;12.0;9.9;20.65;1634.0;;27.9;68.0;74.6;78.1;38.6;10.7;;;164.0;621.0;103.1;2.0;;;;;;;19.9;0.77;6.0;10.0;3.0;5.0;18.9;;151161.0;178639.0;164773.0;37753.0;1051.0;891.0;8345.0;1958.0;648.0;;6739.0;9201.0;2359.0;;5460.0;1510.0;;;;40279.0;55004.0;6874.0;30305.0;2885.0;1029.0;8242.0;7851.0;;;1636.0;605.0;30.0;59457.0;;;;;;;17.0;;;;;;;;53076.0;38872.0;3698.0;;;;;;;;;;2564.0;;;;;;64783.0;59194.0;;8.0;184.0;468.0;20.4;1806.0;6.4;905.0;116.0;3.0;17.0;;78.0;2080.0;;3049.0;4048.0;18.4;24.6;;;;;;;7418.0;6640.0;;;744.0;1232.0;15.2;503.0;8.8;;;1465.0;1.08;0.91;;;28.3;;-511.0;295.0;5395.0;8.2;16.1;;;;2691.0;1766.0;;;;;;;;;;;
1994;33634.0;4.3;8.3;13.2;14.2;17.8;22.8;4.0;4.9;9.5;13.2;4.6;66.2;68.2;66.9;77.2;56.3;12.3;10.3;20.65;1629.0;100.0;27.6;68.0;74.6;79.1;38.1;11.0;;;162.0;767.0;99.2;2.2;;;;30237.0;33598.0;;19.9;0.77;6.0;10.0;3.0;5.0;18.89;;157460.0;175163.0;170657.0;39630.0;853.0;945.0;8530.0;1795.0;704.0;;7118.0;9698.0;2486.0;253.0;6749.0;3096.0;;;;43162.0;59458.0;6909.0;31139.0;2618.0;792.0;8651.0;9388.0;;;1972.0;-274.0;123.0;61768.0;4750.0;;2900.0;;;;17.3;;;;;;;;54554.0;40042.0;4909.0;957.0;;;;;;;;;2564.0;;;;;;65064.0;56643.0;;8.0;183.0;466.0;20.4;2577.0;6.9;882.0;93.0;3.0;16.1;;87.0;1738.0;;3220.0;4110.0;19.5;24.0;;;;;;;7141.0;6400.0;;;718.0;1209.0;15.0;1120.0;9.1;;;549.0;1.09;0.91;;;28.2;;-406.0;660.0;5646.0;8.4;16.3;;;;2688.0;1767.0;;;;;;;;;;;
1995;33579.0;4.3;8.6;13.6;14.7;18.1;23.1;4.2;5.0;9.5;13.3;4.5;65.2;67.2;66.0;76.9;55.7;12.9;10.9;20.65;1626.0;;28.0;68.0;74.3;79.7;37.8;11.1;;;160.0;870.0;95.6;1.7;;;;35456.0;36676.0;;20.9;0.77;16.0;10.0;8.0;5.0;21.12;;149881.0;164393.0;160592.0;39636.0;1237.0;864.0;8535.0;1664.0;766.0;;6713.0;9696.0;2566.0;284.0;6969.0;837.0;;;;40724.0;57878.0;7497.0;30052.0;4307.0;1523.0;9119.0;9658.0;;;1578.0;-332.0;228.0;62846.0;5812.0;;2482.0;;;;18.0;;;;;;;;53569.0;37085.0;4787.0;261.0;;;;;;;;;2836.0;;;;;;64417.0;55655.0;;8.0;186.0;481.0;20.7;2781.0;;821.0;98.0;3.0;14.7;;99.0;1859.0;;3336.0;4029.0;20.2;23.3;;;;;;;8721.0;5834.0;;;654.0;1165.0;15.0;1655.0;9.6;;;652.0;1.09;0.99;;;30.9;;-331.0;345.0;5523.0;8.5;17.0;;;;2957.0;1845.0;;;;;;;;;;;
1996;34388.0;4.2;8.6;13.9;15.1;18.5;23.7;4.4;5.4;10.0;13.7;4.6;64.6;66.7;65.3;76.3;54.8;13.1;11.0;20.65;1665.0;100.0;28.2;67.9;74.9;80.7;37.0;11.3;;;172.0;1132.0;102.5;1.7;;;1.62;39262.0;42222.0;;20.0;0.77;10.0;10.0;5.0;5.0;19.69;154562.0;154562.0;159021.0;165077.0;39766.0;970.0;860.0;8830.0;1700.0;722.0;;6808.0;9660.0;2662.0;338.0;6834.0;2254.0;;;;42674.0;61285.0;6836.0;29270.0;2978.0;1399.0;12865.0;11775.0;;;2000.0;-143.0;112.0;66148.0;5462.0;;3561.0;;;;17.4;;;;;;;;52107.0;36722.0;4497.0;67.0;;;;;;;;;2756.0;;;;;;64796.0;56289.0;;8.0;190.0;485.0;20.4;2750.0;9.5;828.0;98.0;3.0;14.2;;144.0;1574.0;;3487.0;3703.0;20.4;24.4;;;;;;;9160.0;5403.0;;;829.0;688.0;14.0;1998.0;9.8;;;-2283.0;1.06;0.95;;;30.9;169306.0;-435.0;532.0;5519.0;8.5;16.3;;;;;1793.0;;;;;;;;;;;
1997;34458.0;4.1;8.5;14.0;15.3;18.7;23.6;4.4;5.5;10.2;13.9;4.7;64.1;66.3;65.1;76.4;54.4;13.5;11.3;20.65;1669.0;100.0;28.2;67.9;74.1;81.0;36.6;11.5;;;174.0;1208.0;87.4;2.1;;;1.64;41030.0;43923.0;;20.0;0.77;10.0;10.0;5.0;5.0;19.67;149694.0;149694.0;156580.0;159972.0;41294.0;1005.0;834.0;8918.0;1703.0;748.0;;6942.0;9846.0;3089.0;177.0;7432.0;2447.0;;;;44913.0;64117.0;7015.0;29911.0;2990.0;1360.0;12291.0;12189.0;;;2105.0;-1560.0;137.0;66356.0;4623.0;;3901.0;;;;18.1;;;;;;;;52648.0;37120.0;4426.0;123.0;;;;;;;;;2760.0;;;;;;64380.0;55351.0;;8.0;200.0;502.0;20.1;3243.0;9.0;843.0;105.0;3.0;13.5;;107.0;1678.0;;4044.0;3611.0;20.9;22.8;;;;;;;10104.0;5675.0;;;997.0;703.0;13.7;2281.0;10.0;;;-2255.0;1.04;0.93;;;31.1;169611.0;-475.0;435.0;5819.0;9.0;17.3;;;;;1830.0;;;;;;;;;;;
1998;34360.0;3.9;8.3;13.8;15.1;18.7;23.6;4.4;5.5;10.4;13.9;4.9;63.9;66.0;64.7;76.4;54.3;13.9;11.8;20.65;1664.0;100.0;28.5;67.9;74.6;82.8;36.0;11.9;;;168.0;1265.0;84.6;2.3;;;1.64;41838.0;43662.0;;20.0;0.77;10.0;10.0;5.0;5.0;19.7;147689.0;147689.0;154276.0;157500.0;43113.0;1006.0;856.0;8975.0;1811.0;759.0;;7226.0;10154.0;5812.0;345.0;8637.0;2650.0;;;;46555.0;65817.0;7407.0;30252.0;2999.0;1917.0;14207.0;11855.0;;;2075.0;-646.0;116.0;72600.0;4485.0;;2422.0;;77.6;;18.5;;;;;;;;54283.0;38633.0;4462.0;140.0;;;;;;;;;2756.0;;;;;;64588.0;55601.0;;8.0;209.0;513.0;19.6;3119.0;;869.0;99.0;3.0;12.1;1.19;106.0;1751.0;;7605.0;3634.0;21.4;14.6;;;;;;;11905.0;6107.0;;;914.0;696.0;13.0;2551.0;9.9;;;-1446.0;1.05;0.91;;;31.4;171133.0;-281.0;422.0;6193.0;9.4;17.8;;;;;1825.0;;;;;;;;;;;
1999;34391.0;3.8;7.9;13.6;14.9;18.7;23.2;4.1;5.7;10.8;14.2;5.1;63.6;65.7;64.5;76.8;54.1;14.4;12.3;20.65;1665.0;100.0;28.7;67.7;74.1;82.9;35.6;12.1;;;178.0;1253.0;79.0;1.8;;;1.65;42549.0;44419.0;36221.0;20.0;0.77;10.0;10.0;5.0;5.0;19.71;148607.0;148607.0;154020.0;158342.0;44882.0;930.0;809.0;9250.0;1690.0;763.0;;7424.0;10255.0;7042.0;299.0;9021.0;2719.0;;;;48763.0;67292.0;7923.0;30552.0;3167.0;1897.0;16577.0;10607.0;;;2162.0;-80.0;525.0;71592.0;6248.0;4976.0;4202.0;;77.6;;18.7;;;;;;;;54894.0;39737.0;5666.0;159.0;;;;;;;;;2862.0;;;;;;65525.0;55890.0;;8.0;190.0;517.0;21.8;3344.0;8.9;897.0;105.0;3.0;11.9;1.21;119.0;1554.0;;9174.0;3645.0;21.7;6.6;;;;;;;11378.0;6524.0;;629.0;944.0;744.0;12.3;2765.0;9.9;;;1910.0;1.07;0.89;;;31.4;168857.0;-164.0;226.0;6046.0;9.4;17.9;;;;;1901.0;;;;;;;;;;;
2000;34354.0;3.7;7.8;13.2;14.6;18.5;23.1;4.1;5.4;10.7;14.1;5.2;63.2;65.4;64.3;76.9;54.1;14.9;12.7;20.65;1664.0;100.0;29.0;67.5;73.5;82.4;35.2;12.5;;;175.0;1200.0;84.0;2.7;;;1.66;44009.0;46953.0;37160.0;20.0;0.77;10.0;10.0;5.0;5.0;19.6;144602.0;144602.0;163510.0;160569.0;45497.0;948.0;783.0;9514.0;1675.0;777.0;;7444.0;10189.0;7650.0;524.0;8804.0;2806.0;;;;48700.0;67364.0;8594.0;29742.0;4244.0;3515.0;16806.0;10071.0;;;2158.0;-719.0;645.0;76856.0;6271.0;4925.0;4739.0;;79.1;;19.6;;;;;;;;55186.0;40315.0;5768.0;180.0;84.4;10.0;;;;61.5;;;2850.0;;;;1599.0;890.0;67736.0;57095.0;67994.0;8.0;195.0;508.0;20.8;3393.0;9.4;889.0;105.0;3.0;11.7;1.18;132.0;1599.0;;9944.0;3453.0;21.5;;32.2;19.8;2.8;48.66;;;11862.0;6329.0;;270.0;1238.0;608.0;11.4;3118.0;9.8;;;2076.0;1.06;0.88;;;31.7;177061.0;-267.0;348.0;6110.0;9.8;18.6;;15.4;36.4;;1891.0;2850.0;1891.0;;;;;14.42;;7767.0;172.6;19.41
2001;34498.0;3.8;7.5;13.1;14.4;18.3;22.9;3.8;5.5;10.8;14.3;5.2;63.0;65.2;64.1;77.1;54.2;15.1;12.9;20.65;1671.0;100.0;28.8;66.2;74.0;82.6;34.6;12.6;;19.3;165.0;1072.0;71.1;2.3;;;1.63;45725.0;48108.0;39424.0;20.0;0.77;10.0;10.0;5.0;5.0;19.59;143507.0;143507.0;164563.0;160370.0;48062.0;1287.0;862.0;9969.0;1718.0;782.0;;7519.0;10240.0;8154.0;230.0;8803.0;4275.0;;;;53374.0;72644.0;9305.0;29450.0;4458.0;2720.0;16187.0;9965.0;;;2716.0;1685.0;186.0;73113.0;7322.0;4436.0;8011.0;;80.6;;17.7;;;;;;;;55950.0;41082.0;5537.0;200.0;84.4;10.7;;;;59.5;;;2831.0;;;;1590.0;886.0;70061.0;58385.0;71425.0;8.0;214.0;503.0;18.9;3472.0;10.4;894.0;115.0;3.0;11.9;1.22;129.0;1585.0;;10579.0;3335.0;20.7;;6.7;43.2;2.7;46.96;;;12373.0;7949.0;;24.0;1560.0;584.0;10.3;3556.0;9.8;;;2294.0;1.1;0.87;;;31.7;176313.0;-4.0;349.0;6495.0;9.9;19.6;;13.0;37.0;;1879.0;2965.0;1879.0;;;;;13.93;;7504.0;166.76;20.76
2002;34542.0;3.6;7.3;12.8;14.1;18.1;22.9;3.7;5.5;10.8;14.6;5.3;62.8;64.8;63.7;77.1;54.1;15.4;13.3;20.65;1673.0;100.0;29.1;65.9;73.5;83.1;33.9;13.0;;20.0;164.0;976.0;86.9;2.3;;;1.56;47419.0;49857.0;42084.0;20.0;0.77;9.0;10.0;4.5;5.0;19.46;144771.0;144771.0;177273.0;162800.0;50574.0;1306.0;802.0;10293.0;1787.0;769.0;;7102.0;9733.0;9229.0;366.0;8870.0;2978.0;;;;54301.0;72505.0;8000.0;29941.0;4599.0;1786.0;18591.0;10204.0;;;2616.0;870.0;182.0;75681.0;7058.0;4197.0;7056.0;;82.7;;19.5;;;;;;;;53742.0;39215.0;5301.0;242.0;85.2;8.6;;;;58.4;;;2838.0;;;;1592.0;887.0;70754.0;59326.0;74782.0;8.0;212.0;500.0;18.8;3732.0;11.1;923.0;113.0;3.0;11.8;1.24;131.0;1731.0;;11977.0;3325.0;20.8;5.4;40.7;17.6;2.2;45.77;2589.51;117.71;12594.0;13623.0;;-199.0;1827.0;578.0;9.9;4110.0;9.6;;;2289.0;1.11;0.85;;;31.7;177655.0;-218.0;338.0;6581.0;10.9;21.0;;13.4;38.6;;1883.0;2969.0;1883.0;;;;;15.2;;7314.0;162.54;20.65
2003;34676.0;3.6;7.3;12.5;14.0;18.0;23.0;3.8;5.2;10.7;14.5;5.5;62.6;64.5;63.3;77.0;54.1;15.6;13.7;20.65;1679.0;100.0;29.4;65.4;74.5;82.3;33.7;13.3;;20.7;165.0;866.0;80.1;2.5;;;1.5;47441.0;49988.0;42414.0;20.0;0.77;9.0;10.0;4.5;5.0;19.45;147529.0;147529.0;175233.0;165829.0;51913.0;1268.0;932.0;10337.0;1882.0;785.0;;7176.0;9800.0;9599.0;122.0;9367.0;2548.0;;;;55551.0;74121.0;8301.0;30287.0;4598.0;1885.0;17382.0;10269.0;;;2524.0;1187.0;149.0;75520.0;7665.0;4417.0;7159.0;6499.0;82.0;;20.3;;;;;;;;54479.0;39889.0;5408.0;269.0;84.3;8.8;;;;58.7;;;2830.0;;;;1586.0;819.0;71531.0;59471.0;75716.0;8.0;202.0;493.0;19.6;4037.0;11.6;883.0;118.0;3.0;12.1;1.13;135.0;1776.0;;12466.0;3282.0;20.8;6.3;42.5;18.1;2.5;50.54;2913.88;113.72;13449.0;12357.0;;-253.0;2174.0;544.0;10.6;4939.0;10.0;;;2488.0;1.14;0.85;;;31.7;174532.0;109.0;350.0;6711.0;11.2;21.8;;6.1;39.6;;1876.0;2957.0;1876.0;;;;;13.89;;7067.0;157.04;21.99
